ASG-ITEM-ID,Nombre del Producto/Servicio,Descripción Completa del Producto/Servicio,Precio (Costo Estimado por Unidad),Categoría,Subcategoría,Agencia,Categoria NIGP,Sub-Categoria NIGP,Agencia ID,Modo de Adquisición,ID Articulo,ASG-ITEM-ID,Requisicion Item ID,Licitacion,Marca,Modelo,Garantia,Número de contrato,Núm. de Partida,Renglón
031-02-002-01-0000000058,"Adquisicion Unidad A/C 48,000Btu","Adquisicion Unidad A/C 48,000Btu","$3,890.00",Equipos HVAC,"Aire acondicionado, portátiles o de habitación",Departamento de Hacienda,031,02,002,01,0000000058,031-02-002-01-0000000058,031-02-0000000058,31,Daikin,Aruf,1 Año Serv. Y 1 Año Compresor,19-142-C,8,2
015-25-003-02-0000000148,"Red Ink Cartridge (Production) For Sendpro P/Connect Series Mailing, Systems","Red Ink Cartridge (Production) For Sendpro P/Connect Series Mailing, Systems",$309.99,Tintas y suministros,Tintura para máquinas mimeográficas,Departamento de Seguridad Pública de Puerto Rico,015,25,003,02,0000000148,015-25-003-02-0000000148,015-25-0000000148,15,Pitney Bowes,Sendpro P2000,1 Año,,,
600-60-003-03-0000000144,Fotocopiadora Multifuncional A Color,Fotocopiadora Multifuncional A Color,"$5,864.17",Equipos de oficina,Máquinas multifuncionales de impresión/copiado,Departamento de Seguridad Pública de Puerto Rico,600,60,003,03,0000000144,600-60-003-03-0000000144,600-60-0000000144,600,Ricoh,Im C400F,2 Años,13-54-C,1C,1
015-16-003-04-0000000149,E-Z Seal Sealing Solution 4 Half Gallon Bottles,E-Z Seal Sealing Solution 4 Half Gallon Bottles,$99.99,Productos químicos,Químicos húmedos para copiadoras,Departamento de Seguridad Pública de Puerto Rico,015,16,003,04,0000000149,015-16-003-04-0000000149,015-16-0000000149,15,Pitney Bowes,Sendpro P2000,1 Año,,,
285-37-004-05-0000000019,Start Up Para  Generador Eléctrico Visa K32Sg-Ese,Start Up Para  Generador Eléctrico Visa K32Sg-Ese,$375.00,Generadores eléctricos,"Generadores portátiles, motor a gasolina",Comisión de Juegos del Gobierno de Puerto Rico,285,37,004,05,0000000019,285-37-004-05-0000000019,285-37-0000000019,285,Visa,K32Sg-Ese,2 Años,,,
204-60-005-06-0000000175,Dell Monitor 23.5,Dell Monitor 23.5,$156.33,Microcomputadoras,Monitores color y monocromo,Departamento de Estado,204,60,005,06,0000000175,204-60-005-06-0000000175,204-60-0000000175,204,Dell,Dell 24 P2419H,3 Años,20-299-C,5A,
345-06-005-01-0000000172,Dell Pro Slim Backpack 15'',Dell Pro Slim Backpack 15'',$35.00,Maletines y bolsos,Maletines de computadora / mochilas,Departamento de Estado,345,06,005,01,0000000172,345-06-005-01-0000000172,345-06-0000000172,345,Dell,Dell Pro,1 Año,20-299-C,7A,
207-34-005-02-0000000173,Dell Dock-Wd19,Dell Dock-Wd19,$138.00,Accesorios de computador,Estaciones de acople,Departamento de Estado,207,34,005,02,0000000173,207-34-005-02-0000000173,207-34-0000000173,207,Dell,Dell Dock-Wd19,1 Año,20-299-C,7A,
645-21-002-03-0000000223,Papel Bond Xerografico Tamaño Carta  10 Resmas Por Caja,Papel Bond Xerografico Tamaño Carta  10 Resmas Por Caja,$28.09,Suministros de papel,Papel bond tamaño carta,Departamento de Hacienda,645,21,002,03,0000000223,645-21-002-03-0000000223,645-21-0000000223,645,Executive,Office Gallery,,19-067-C,126,126
200-20-003-04-0000000272,"Camisa Azul Marino 5.11- 71175T Con Bordado En El Cuello Que Leabomberos Y Los Logos Del Dsp Y Del Negociado De Bomberos.
Tamaños De 2Xlarge A 5Xlarge","Camisa Azul Marino 5.11- 71175T Con Bordado En El Cuello Que Leabomberos Y Los Logos Del Dsp Y Del Negociado De Bomberos.
Tamaños De 2Xlarge A 5Xlarge",$59.99,Ropa de trabajo,Camisas uniformadas,Departamento de Seguridad Pública de Puerto Rico,200,20,003,04,0000000272,200-20-003-04-0000000272,200-20-0000000272,200,5.11,71175T,,,,
208-50-003-05-0000000130,Programa De Actualizacion Sistema Operativo Maquina Noritsu 380Ig (Propiedad Fp-40258),Programa De Actualizacion Sistema Operativo Maquina Noritsu 380Ig (Propiedad Fp-40258),$495.00,Software informático,Actualización de sistema operativo,Departamento de Seguridad Pública de Puerto Rico,208,50,003,05,0000000130,208-50-003-05-0000000130,208-50-0000000130,208,Noritsu,3801,30 Dias,,,
832-47-003-06-0000000147,Sendpro P/Connect Series Self Adhesive Tape Rolls,Sendpro P/Connect Series Self Adhesive Tape Rolls,$159.99,Cintas adhesivas,Cinta adhesiva para embalaje/mailing,Departamento de Seguridad Pública de Puerto Rico,832,47,003,06,0000000147,832-47-003-06-0000000147,832-47-0000000147,832,Pitney Bowes,Send Pro P2000,1 Año,,,
207-66-005-01-0000000174,Dell Usb Keyboard And Dell Usb Mouse,Dell Usb Keyboard And Dell Usb Mouse,$20.00,Periféricos de computador,Teclados y ratones USB,Departamento de Estado,207,66,005,01,0000000174,207-66-005-01-0000000174,207-66-0000000174,207,Dell,Dell Ms116,1 Año,20-299-C,7A,
200-30-003-02-0000000274,"Pantalón Para Bomberos 5.11-74273L- Azul Marino.
Tamaños De 46-54","Pantalón Para Bomberos 5.11-74273L- Azul Marino.
Tamaños De 46-54",$64.99,Ropa de trabajo,Pantalones de uniforme,Departamento de Seguridad Pública de Puerto Rico,200,30,003,02,0000000274,200-30-003-02-0000000274,200-30-0000000274,200,5.11,74273L,,,,
200-20-003-03-0000000271,"Camisa Azul Marino 5.11 -71175 Con Bordado En El Cuello Que Leabomberos Y Los Logos Del Dsp Y Del Negociado De Bomberos.
Tamaños De Small A Xlarge","Camisa Azul Marino 5.11 -71175 Con Bordado En El Cuello Que Leabomberos Y Los Logos Del Dsp Y Del Negociado De Bomberos.
Tamaños De Small A Xlarge",$54.99,Ropa de trabajo,Camisas uniformadas,Departamento de Seguridad Pública de Puerto Rico,200,20,003,03,0000000271,200-20-003-03-0000000271,200-20-0000000271,200,5.11,71175,,,,
200-30-003-04-0000000273,"Pantalón Para Bomberos 5.11 - 74273-Azul Marino.
Tamaños De 28-44","Pantalón Para Bomberos 5.11 - 74273-Azul Marino.
Tamaños De 28-44",$44.99,Ropa de trabajo,Pantalones de uniforme,Departamento de Seguridad Pública de Puerto Rico,200,30,003,04,0000000273,200-30-003-04-0000000273,200-30-0000000273,200,5.11,74273,,,,
204-54-005-05-0000000171,Laptops Dell Latitude 15',Laptops Dell Latitude 15',"$1,099.66",Microcomputadoras,Laptops y notebooks,Departamento de Estado,204,54,005,05,0000000171,204-54-005-05-0000000171,204-54-0000000171,204,Dell,Dell Latitude 5520 Xcto,3 Años,20-299-C,7A,
863-53-002-06-0000000180,Gomas P225 60R 18,Gomas P225 60R 18,$153.00,Llantas y neumáticos,Neumáticos para vehículos livianos,Departamento de Hacienda,863,53,002,06,0000000180,863-53-002-06-0000000180,863-53-0000000180,863,Goodyear Eagle Rsa,225-60-18,Deperfectos De Manufactua,21-RFP-005-ASG,,A-11
200-50-003-01-0000000270,Bota Para Bomberos 5.11 Company Boot Color Negro Modelo 12416,Bota Para Bomberos 5.11 Company Boot Color Negro Modelo 12416,$135.99,Ropa de trabajo,Botas de trabajo,Departamento de Seguridad Pública de Puerto Rico,200,50,003,01,0000000270,200-50-003-01-0000000270,200-50-0000000270,200,5.11,12416,,,,
840-84-002-02-0000000313,Televisor Smart Tv 55,Televisor Smart Tv 55,"$2,460.00",Equipos de video,Televisores inteligentes,Departamento de Hacienda,840,84,002,02,0000000313,840-84-002-02-0000000313,840-84-0000000313,840,Lg,55Uh5C,3Años Piezs Y Servicios On Site,18-155-C,24,24
340-00-003-03-0000000377,Extintor Co2 De 10 Lbs Con Gancho Y Pegatina,Extintor Co2 De 10 Lbs Con Gancho Y Pegatina,$169.50,Equipos de seguridad,Extintores,Departamento de Seguridad Pública de Puerto Rico,340,00,003,03,0000000377,340-00-003-03-0000000377,340-00-0000000377,340,Buckeye,45600,6 Años,17-084-C,8,1
425-03-003-04-0000000427,Archivos De 5 Gavetas Lateral (Crema),Archivos De 5 Gavetas Lateral (Crema),$746.30,Mobiliario de oficina,Archiveros verticales,Departamento de Seguridad Pública de Puerto Rico,425,03,003,04,0000000427,425-03-003-04-0000000427,425-03-0000000427,425,Karla,1842-5F,5 Años,16-146-C,12,1
060-72-003-05-0000000333,"Baterias Con No Menos De 660 Cold Cranking Amps. Para Las Siguientes  Unidades:
Ge-4565,7599,7340,7589,5320 Y 7708","Baterias Con No Menos De 660 Cold Cranking Amps. Para Las Siguientes  Unidades:
Ge-4565,7599,7340,7589,5320 Y 7708",$149.90,Baterías,Baterías automotrices de alto arranque,Departamento de Seguridad Pública de Puerto Rico,060,72,003,05,0000000333,060-72-003-05-0000000333,060-72-0000000333,60,Ac Delco,Acd31Tp,12 Meses,18-041-C,2,
425-02-003-06-0000000425,"Archivo De 2 Gavetas Lateral
(Crema)","Archivo De 2 Gavetas Lateral
(Crema)",$311.25,Mobiliario de oficina,Archiveros pequeños,Departamento de Seguridad Pública de Puerto Rico,425,02,003,06,0000000425,425-02-003-06-0000000425,425-02-0000000425,425,Karla,1836-2F,5 Años,16-146-C,2,1
740-51-007-02-0000000549,Servicio De (4) Coolers De Agua,"Servicio De (4) Coolers De Agua  
1 De Septiembre De 2021
31 De Diciembre De 2021 
El Costo Por Unidad Es De $50.00 Mensual.",$200.00,Sistemas de refrigeración,"Enfriadores de agua, bebederos",Oficina de Administración y Transformación de los Recursos Humanos,740,51,007,02,0000000549,740-51-007-02-0000000549,740-51-0000000549,740,Waterlogic,2500(Qwschill,,18-145-C,13,
425-03-003-03-0000000426,Archivo De 4 Gavetas Lateral(Crema),"Archivo De 4 Gavetas Lateral
(Crema)",$595.12,Mobiliario de oficina,Archiveros verticales,Departamento de Seguridad Pública de Puerto Rico,425,03,003,03,0000000426,425-03-003-03-0000000426,425-03-0000000426,425,Karla,1836-4F,5 Años,16-146-C,8,1
060-84-002-04-0000001861,"Transmission Mount V6, 3.6L","Transmission Mount V6, 3.6L",$71.00,Partes para vehículos,Soportes de transmisión,Departamento de Hacienda,060,84,002,04,0000001861,060-84-002-04-0000001861,060-84-0000001861,60,Jeep,Cherokee,,2016-000006,23,23
740-51-007-05-0000000887,Servicio De (4) Coolers De Agua,"Servicio De (4) Coolers De Agua
Qws Wl-100 Cool /Floor
1 De Sptiembre De 2021 Hasta  
31 De Diciembre De 2021.
40 Estimado Por Unidad Mensual.",$40.00,Sistemas de refrigeración,"Enfriadores de agua, bebederos",Oficina de Administración y Transformación de los Recursos Humanos,740,51,007,05,0000000887,740-51-007-05-0000000887,740-51-0000000887,740,Waterlogic,Wl-100,,18-145-C,17,
031-67-003-06-0000000643,"Acondicionador De Aire Tipo Mini Split(Piso Techo) De 60,000Btu Y 230 Voltios, Segun Especificacion Uea-19-258","Acondicionador De Aire Tipo Mini Split(Piso Techo) De 60,000Btu Y 230 Voltios, Segun Especificacion Uea-19-258","$3,285.00",HVAC,Aire acondicionado tipo mini split,Departamento de Seguridad Pública de Puerto Rico,031,67,003,06,0000000643,031-67-003-06-0000000643,031-67-0000000643,31,Miden,Ceilin Floor,1 Año Servicio 5 Años Compresor,19-142-C,21,1
975-14-010-01-0000000770,Alquiler De Ford Explorer 4X2 Automatica 4 Puertas.,Alquiler De Ford Explorer 4X2 Automatica 4 Puertas. Periodo Del 1 De Septiembre 2021 Al 30 De Noviembre 2021. Partida #20 Enmienda 8 Del Contrato Numero 16-121-C De Seleccion Multiple Para El Alquiler De Vehiculos A Corto Plazo.,"$1,550.00",Arrendamiento de vehículos,"Vehículos utilitarios, SUV",Autoridad de Transporte Marítimo,975,14,010,01,0000000770,975-14-010-01-0000000770,975-14-0000000770,975,Ford,Explorer O Similar,Na,16-121-C,20,
060-78-013-02-0000000898,Serpentine Belt 5081223,Serpentine Belt 5081223,$72.00,Partes para vehículos,Correas de accesorios / serpentina,Administración de Terrenos,060,78,013,02,0000000898,060-78-013-02-0000000898,060-78-0000000898,60,Ford,350,30 Dias,2016-000024,1,7
962-86-011-03-0000000822,Relocalizar Multifuncionales De 3 Salas Administativas,"Relocalizar Multifuncionales De 3 Salas Administativas
1. Sala Adm. Caguas A Ofic. Regional De Bayamón
2. Sala De Humacao A Región De Arecibo
3. Sala Tribunal San Juan A Asume Central",$275.00,Servicios generales,Traslado de equipo y mobiliario,Departamento de la Familia,962,86,011,03,0000000822,962-86-011-03-0000000822,962-86-0000000822,962,Ricoh,Mp4055 Sp,,,,
910-00-002-04-0000000767,Ge-03206,"Ge-03206
(2) Control Arm Upper
(2) Control Arm Lower
(1) Stabilizer Bar Bushing
(1) Stabilizer Bar End Link 
(1) Steering Gear Assembly
(4) Tie Rod And/Or End - Inner",$879.95,Servicios generales,Mano de obra general,Departamento de Hacienda,910,00,002,04,0000000767,910-00-002-04-0000000767,910-00-0000000767,910,Jeep,Grand Cherokee,6 Meses,2019-000018,23,
910-00-002-05-0000000768,Ge-03206,"Ge-03206
(1) Labor",$288.00,Servicios generales,Mano de obra general,Departamento de Hacienda,910,00,002,05,0000000768,910-00-002-05-0000000768,910-00-0000000768,910,Jeep,Gran Cherokee,6 Meses,2019-000018,23,
060-83-002-06-0000001860,"Engine Mount  V6, 3.6L, Right Engine","Engine Mount  V6, 3.6L, Right Engine",$114.50,Partes para vehículos,Soportes de motor,Departamento de Hacienda,060,83,002,06,0000001860,060-83-002-06-0000001860,060-83-0000001860,60,Jeep,Cherokee,,2016-000006,23,23
060-72-003-01-0000000815,Baterias Para Torres De Luz,"Baterias Para Torres De Luz
Ge08684- Prop.63405,
Ge08682-Prop.63403
Ge08679-Prop.63400, 
Ge08678- Prop.63399
Ge08677- Prop.63398, 
Ge08674-Prop.6339:
Ge08673- Prop.63394,
Ge08672-Prop.63393
Ge08675- Prop. 63396",$134.90,Baterías,Baterías de alto arranque (CCA),Departamento de Seguridad Pública de Puerto Rico,060,72,003,01,0000000815,060-72-003-01-0000000815,060-72-0000000815,60,Ac Delco,Acd1109C,12 Meses,18-041-C,1,
910-00-002-02-0000001862,"Transmission Mount V6, 3.6L","Transmission Mount V6, 3.6L",$71.00,Servicios generales,Mano de obra general,Departamento de Hacienda,910,00,002,02,0000001862,910-00-002-02-0000001862,910-00-0000001862,910,Jeep,Cherokee,,2016-000006,23,23
031-67-002-03-0000001864,Labor,Labor,$668.00,Partes para vehículos,Soportes de motor,Departamento de Hacienda,031,67,002,03,0000001864,031-67-002-03-0000001864,031-67-0000001864,31,Jeep,Cherokee,,2016-000006,23,23
928-52-002-04-0000001156,"Mini-Split 60K Btu
Colecturia Arecibo Cesco","Mini-Split 60K Btu
Colecturia Arecibo Cesco","$3,285.00",HVAC,Aire acondicionado tipo mini split,Departamento de Hacienda,928,52,002,04,0000001156,928-52-002-04-0000001156,928-52-0000001156,928,Miden,Ceilin Floor,1 Año Serv. Y 5 Año Compresor,19-142-C,21,1
578-34-002-05-0000000558,"Reparacion De Hojalateria Y Pintura De Bumper, Bonete Y Guardalodos Delanters.","- Reparacion De Hojalateria Y Pintura De Bumper, Bonete Y Guardalodos Delanters.
- Labor
Vehiculo: Ge-03197","$1,500.00",Servicios para vehículos,Reparación de carrocería,Departamento de Hacienda,578,34,002,05,0000000558,578-34-002-05-0000000558,578-34-0000000558,578,Jeep,Cherokee,,2019-000018,23,23
840-84-002-06-0000000771,Wall Mount Bracket Refuerzo De Pared Para Gibson Board Para Colocar Tv De 55,Wall Mount Bracket Refuerzo De Pared Para Gibson Board Para Colocar Tv De 55,$86.94,Soportes y accesorios,Soportes para pantallas planas,Departamento de Hacienda,840,84,002,06,0000000771,840-84-002-06-0000000771,840-84-0000000771,840,Kanto,Pf300,5 Años Manufacturero,18-155-C,49,49
060-72-002-01-0000000890,Televisor De 40,Televisor De 40,$612.14,Equipos de video,Televisores,Departamento de Hacienda,060,72,002,01,0000000890,060-72-002-01-0000000890,060-72-0000000890,60,Samsungn5300,N5300,3 Años,18-155-C,5,5
060-72-001-02-0000000916,Batería De Polos Regulares (Tp) Con No Menos De 700 Cold Cranking Segun Especificacion 114.90,Batería De Polos Regulares (Tp) Con No Menos De 700 Cold Cranking Segun Especificacion 114.90,$114.90,Baterías,Baterías de arranque estándar,Junta Reglamentadora de Servicio Público,060,72,001,02,0000000916,060-72-001-02-0000000916,060-72-0000000916,60,Acdelco,Acd65A,12 Meses,18-041-C,3,NA
060-83-003-03-0000000955,Bateria De Polos Regulares No Menos De 900 Cc Para La Unidad Ge-08031,"Bateria De Polos Regulares No Menos De 900 Cc

Para La Unidad Ge-08031
Dodge Caravan 2014",$218.90,Baterías,Baterías de alto arranque (CCA),Departamento de Seguridad Pública de Puerto Rico,060,83,003,03,0000000955,060-83-003-03-0000000955,060-83-0000000955,60,Ac Delco,Acd-4-Da,12 Meses,18-041-C,6,
060-22-002-04-0000001859,"Engine Mount  V6, 3.6L, Left Engine","Engine Mount  V6, 3.6L, Left Engine",$114.50,Partes para vehículos,Soportes de motor,Departamento de Hacienda,060,22,002,04,0000001859,060-22-002-04-0000001859,060-22-0000001859,60,Jeep,Cherokee,,2016-000006,23,23
060-72-002-05-0000000831,"Caliper Front, Left","Caliper Front, Left",$138.00,Partes para vehículos,Frenos - calipers,Departamento de Hacienda,060,72,002,05,0000000831,060-72-002-05-0000000831,060-72-0000000831,60,Jeep,Cherokee,,2016-000006,23,23
840-84-003-06-0000000816,Bateria De Polos No Menor De 660 Cc.,"Bateria De Polos No Menor De 660 Cc.
Para Las Unidades Oficina Central - Prusar
Kawasaki Mule 4010 2013",$149.90,Baterías,Baterías automotrices de arranque,Departamento de Seguridad Pública de Puerto Rico,840,84,003,06,0000000816,840-84-003-06-0000000816,840-84-0000000816,840,Ac Delco,Acd31Tp,12 Meses,18-041-C,2,
975-14-006-01-0000001225,Televisor Hd 32Según Especificacion Uea-18-486,Televisor Hd 32Según Especificacion Uea-18-486,$459.43,Equipos de video,Televisores HD,Administración de Servicios de Salud Mental y Contra la Adicción,975,14,006,01,0000001225,975-14-006-01-0000001225,975-14-0000001225,975,Samsung,N5300-Un32N5300 Afxza,3 Años,18-155-C,4,
060-83-006-02-0000000961,"Alquiler De Vehiculo Mini Van Para No Menos De Siete (7) Pasajeros , Transimision Automatica, Cuatro Puertas Laterales Y Una Puerta Trasera Con Cristal, Radio Am Y Fm","Alquiler De Vehiculo Mini Van Para No Menos De Siete (7) Pasajeros , Transimision Automatica, Cuatro Puertas Laterales Y Una Puerta Trasera Con Cristal, Radio Am Y Fm","$1,200.00",Arrendamiento de vehículos,Minivans de pasajeros,Administración de Servicios de Salud Mental y Contra la Adicción,060,83,006,02,0000000961,060-83-006-02-0000000961,060-83-0000000961,60,Kia,"Gran Caravan, Sedona O Similar",,16-121-C,12,
060-72-002-03-0000001107,(3) Engine Motor Mounts,(3) Engine Motor Mounts,$278.79,Partes para vehículos,Soportes de motor,Departamento de Hacienda,060,72,002,03,0000001107,060-72-002-03-0000001107,060-72-0000001107,60,Dodge,Charger,,2019-000018,15,
060-89-003-04-0000001252,"Baterias De Polos De Tornillos (Ts) Con No Menos De 660 Cold Cranking Amps. Segun Especificaciones. Asignadas Para Las Unidades: (8300308,8800311,8800829,8800863,8800869,8300314)","Baterias De Polos De Tornillos (Ts) Con No Menos De 660 Cold Cranking Amps. Segun Especificaciones. Asignadas Para Las Unidades: (8300308,8800311,8800829,8800863,8800869,8300314)",$149.90,Baterías,Baterías de arranque (TS),Departamento de Seguridad Pública de Puerto Rico,060,89,003,04,0000001252,060-89-003-04-0000001252,060-89-0000001252,60,Acdelco,Acd31Tp,12 Meses,18-041-C,2,
060-19-002-05-0000001102,(4) Strut Mounts Eyuh3654,"(4) Strut Mounts Eyuh3654
(4) Links Delanteros Y Traseros",$400.00,Partes para vehículos,Suspensión - Struts y links,Departamento de Hacienda,060,19,002,05,0000001102,060-19-002-05-0000001102,060-19-0000001102,60,Ford,Escape,,2019-000018,23,23
